timestamp,open,high,low,close,volume
2020-01-01 00:00:00,1517.00,1517.80,1512.99,1514.71,8992
2020-01-01 01:00:00,1514.71,1516.21,1514.44,1516.06,7375
2020-01-01 02:00:00,1516.06,1517.09,1515.22,1515.59,6808
2020-01-01 03:00:00,1515.59,1519.99,1515.16,1518.04,8691
2020-01-01 04:00:00,1518.04,1519.47,1517.97,1518.77,6640
2020-01-01 05:00:00,1518.77,1521.60,1518.31,1521.06,8517
2020-01-01 06:00:00,1521.06,1521.26,1519.36,1520.04,7456
2020-01-01 07:00:00,1520.04,1524.03,1510.39,1515.12,12136
2020-01-01 08:00:00,1515.12,1522.45,1513.03,1518.51,9821
2020-01-01 09:00:00,1518.51,1522.12,1516.56,1520.67,8357
2020-01-01 10:00:00,1520.67,1522.63,1516.62,1521.70,7004
2020-01-01 11:00:00,1521.70,1523.06,1518.64,1518.86,9629
2020-01-01 12:00:00,1518.86,1526.15,1516.76,1526.15,36274
2020-01-01 13:00:00,1526.15,1529.24,1524.34,1526.63,15925
2020-01-01 14:00:00,1526.63,1528.49,1524.16,1526.05,17238
2020-01-01 15:00:00,1526.05,1526.23,1517.57,1522.12,27322
2020-01-01 16:00:00,1522.12,1523.01,1520.62,1521.75,16658
2020-01-01 17:00:00,1521.75,1527.56,1521.13,1525.16,9865
2020-01-01 18:00:00,1525.16,1527.81,1524.90,1526.55,7453
2020-01-01 19:00:00,1526.55,1526.88,1525.40,1525.52,7447
2020-01-01 20:00:00,1525.52,1526.94,1523.42,1523.89,8164
2020-01-01 22:00:00,1523.89,1524.03,1520.83,1522.93,7363
2020-01-01 23:00:00,1522.93,1523.50,1521.45,1522.09,7227
2020-01-02 00:00:00,1522.09,1522.82,1522.08,1522.71,6520
2020-01-02 01:00:00,1522.71,1526.48,1518.93,1525.56,9196
2020-01-02 02:00:00,1525.56,1528.15,1523.83,1526.31,6688
2020-01-02 03:00:00,1526.31,1526.45,1525.19,1526.16,6384
2020-01-02 04:00:00,1526.16,1526.91,1522.95,1523.43,9480
2020-01-02 05:00:00,1523.43,1525.33,1522.63,1524.48,7040
2020-01-02 06:00:00,1524.48,1525.62,1520.80,1522.53,8562
2020-01-02 07:00:00,1522.53,1526.73,1513.90,1518.76,10742
2020-01-02 08:00:00,1518.76,1519.81,1511.50,1512.40,13864
2020-01-02 09:00:00,1512.40,1512.58,1510.31,1510.93,8022
2020-01-02 10:00:00,1510.93,1511.36,1510.90,1511.28,6149
2020-01-02 11:00:00,1511.28,1517.30,1508.83,1514.21,9255
2020-01-02 12:00:00,1514.21,1519.25,1512.28,1517.77,25068
2020-01-02 13:00:00,1517.77,1529.71,1515.01,1522.65,29042
2020-01-02 14:00:00,1522.65,1523.74,1509.48,1515.84,35974
2020-01-02 15:00:00,1515.84,1516.76,1515.70,1516.53,16456
