step_id,norm_open,norm_high,norm_low,norm_close,norm_volume
T_00001,100.0,100.4793,99.7604,100.3687,4.31
T_00002,100.3687,100.977,100.3041,100.8018,4.62
T_00003,100.8018,100.8111,100.47,100.6544,3.2
T_00004,100.6544,100.8387,100.5714,100.7926,3.16
T_00005,100.7926,100.8571,100.5253,100.5899,3.52
T_00006,100.5899,100.6636,100.4793,100.5438,2.7
T_00007,100.5438,100.9217,100.4885,100.7834,3.66
T_00008,100.7834,100.9032,100.5714,100.6267,3.29
T_00009,100.6267,100.6912,100.3502,100.553,2.84
T_00010,100.553,100.6636,100.0,100.3502,3.54
T_00011,100.3502,100.553,100.2488,100.2488,2.97
T_00012,100.2488,101.3641,100.2212,100.8111,5.28
T_00013,100.8111,101.4194,100.3594,101.4009,5.4
T_00014,101.4009,101.5668,100.682,101.0691,4.14
T_00015,101.0691,101.8525,100.8203,101.447,4.36
T_00016,101.447,102.0369,101.2627,101.7788,4.11
T_00017,101.7788,101.9816,101.5115,101.7327,2.73
T_00018,101.7327,102.0553,101.53,101.5392,3.44
T_00019,101.5392,101.6959,101.4562,101.5945,2.77
T_00020,101.5945,102.3502,101.4839,101.8986,3.98
T_00021,101.8986,101.9539,101.7604,101.8341,2.83
T_00022,101.8341,102.1751,101.7696,102.0276,3.46
T_00023,102.0276,102.1198,102.0276,102.0922,2.79
T_00024,102.0922,102.5991,102.0369,102.3041,3.52
T_00025,102.3041,102.3594,102.2212,102.2212,2.87
T_00026,102.2212,102.2304,102.0737,102.1751,2.75
T_00027,102.1751,102.4516,101.8802,102.3041,3.14
T_00028,102.3041,102.4332,102.2488,102.3963,2.94
T_00029,102.3963,102.4147,102.2949,102.3502,2.74
T_00030,102.3502,102.4885,102.3226,102.4055,2.76
T_00031,102.4055,102.4793,101.9631,102.2304,3.38
T_00032,102.2304,102.4055,102.1475,102.2673,2.7
T_00033,102.2673,102.3963,102.0737,102.2028,2.82
T_00034,102.2028,102.4147,102.2028,102.3226,3.07
T_00035,102.3226,102.5069,101.9816,102.2028,3.08
T_00036,102.2028,102.2488,101.9171,102.2396,2.67
T_00037,102.2396,103.1521,102.1198,102.6175,4.37
T_00038,102.6175,103.0876,102.1659,102.8111,3.44
T_00039,102.8111,103.3456,102.3134,102.5806,3.66
T_00040,102.5806,102.5899,102.5161,102.5622,2.59
T_00041,102.5622,102.6636,102.4977,102.6083,2.71
T_00042,102.6083,102.9677,102.5991,102.7926,3.4
T_00043,102.7926,102.8756,102.7097,102.7281,2.8
T_00044,102.7281,102.8387,102.7005,102.7097,2.58
T_00045,102.7097,102.8479,102.7097,102.8111,2.97
T_00046,102.8111,103.0138,102.6636,102.8479,2.66
T_00047,102.8479,102.894,102.6636,102.8756,2.63
