step_id,norm_open,norm_high,norm_low,norm_close,norm_volume
T_00001,100.0,100.2526,99.9289,100.1668,3.11
T_00002,100.1668,100.2409,100.1178,100.1705,2.51
T_00003,100.1705,100.2046,99.9686,100.1031,2.75
T_00004,100.1031,100.3117,99.8892,99.9157,3.2
T_00005,99.9157,100.1914,99.9154,100.0258,2.9
T_00006,100.0258,100.1332,99.7754,99.9071,2.95
T_00007,99.9071,100.1511,99.9022,100.0397,2.98
T_00008,100.0397,100.3145,99.7514,100.1323,2.83
T_00009,100.1323,100.1766,99.8437,99.9391,3.22
T_00010,99.9391,100.2646,99.9218,99.9837,2.66
T_00011,99.9837,100.1868,99.6083,99.6855,3.61
T_00012,99.6855,99.7529,99.2105,99.5717,2.93
T_00013,99.5717,99.9745,99.2348,99.3985,3.15
T_00014,99.3985,99.9086,99.1391,99.9058,4.37
T_00015,99.9058,100.1874,99.8911,100.168,3.46
T_00016,100.168,100.6652,100.16,100.4622,3.58
T_00017,100.4622,100.8871,100.4151,100.8058,3.76
T_00018,100.8058,100.8631,100.8018,100.8154,2.53
T_00019,100.8154,100.8815,100.1652,100.3258,4.32
T_00020,100.3258,100.6769,99.8218,99.9446,3.92
T_00021,99.9446,100.0222,99.6231,99.7135,3.36
T_00022,99.7135,100.5717,99.6289,100.1542,4.12
T_00023,100.1542,100.2289,99.868,100.1871,2.62
T_00024,100.1871,100.2994,99.9655,100.0191,3.13
T_00025,100.0191,100.4375,99.5335,99.5745,4.15
T_00026,99.5745,99.8142,99.4517,99.7689,3.21
T_00027,99.7689,99.7871,99.6166,99.6431,2.97
T_00028,99.6431,99.728,99.4702,99.5671,2.79
T_00029,99.5671,99.7732,99.468,99.5902,2.58
T_00030,99.5902,99.7102,99.4077,99.5062,2.82
T_00031,99.5062,99.6748,99.4314,99.5046,2.51
T_00032,99.5046,100.0945,99.1108,99.2037,3.62
T_00033,99.2037,99.4077,98.2222,98.9268,3.53
T_00034,98.9268,99.1665,98.8369,99.0163,2.82
T_00035,99.0163,99.0975,98.54,98.7489,3.5
T_00036,98.7489,99.2311,98.5978,99.0012,3.42
