step_id,norm_open,norm_high,norm_low,norm_close,norm_volume
T_00001,100.0,100.097,99.9674,100.0129,2.59
T_00002,100.0129,100.1311,99.8515,100.0508,2.75
T_00003,100.0508,100.1598,99.7129,99.8652,3.73
T_00004,99.8652,99.9167,99.7932,99.8939,2.69
T_00005,99.8939,100.0424,99.5008,99.7341,3.56
T_00006,99.7341,99.75,99.6727,99.703,2.7
T_00007,99.703,99.7447,99.5303,99.5394,3.58
T_00008,99.5394,99.5394,99.4174,99.4947,2.79
T_00009,99.4947,99.5705,99.1598,99.1682,4.65
T_00010,99.1682,99.3864,99.0439,99.2189,2.83
T_00011,99.2189,99.2492,99.2152,99.225,2.54
T_00012,99.225,99.3841,99.1924,99.3288,3.18
T_00013,99.3288,99.5076,99.3038,99.4326,3.19
T_00014,99.4326,99.5697,99.2818,99.2962,3.4
T_00015,99.2962,99.3697,99.1424,99.2152,3.04
T_00016,99.2152,99.8258,99.2121,99.625,5.21
T_00017,99.625,99.6591,99.5409,99.5818,2.78
T_00018,99.5818,99.7992,99.5659,99.6803,3.15
T_00019,99.6803,99.7121,99.5848,99.6432,2.74
T_00020,99.6432,99.7439,99.4621,99.6098,2.72
T_00021,99.6098,99.6152,99.4424,99.5939,2.6
T_00022,99.5939,99.772,99.3712,99.5189,2.99
T_00023,99.5189,99.8826,99.3939,99.7068,3.74
T_00024,99.7068,100.0326,99.4189,99.8917,3.72
T_00025,99.8917,99.9917,99.8061,99.8417,2.83
T_00026,99.8417,99.8727,99.7492,99.8212,2.63
T_00027,99.8212,99.8598,99.7636,99.8447,2.66
T_00028,99.8447,99.8917,99.7932,99.8538,2.56
T_00029,99.8538,99.8629,99.7712,99.8341,2.63
T_00030,99.8341,99.9235,99.8227,99.9159,3.04
T_00031,99.9159,100.2348,99.7197,100.1394,3.98
T_00032,100.1394,100.2076,100.0886,100.0909,2.82
T_00033,100.0909,100.3053,99.9265,99.9674,3.32
T_00034,99.9674,100.3356,99.9235,100.147,3.69
T_00035,100.147,100.2561,100.1333,100.1545,2.55
T_00036,100.1545,100.2492,99.8409,100.003,3.5
T_00037,100.003,100.0341,99.7606,99.9371,2.93
T_00038,99.9371,100.0394,99.7606,100.0212,3.06
T_00039,100.0212,100.2652,99.7606,100.2402,3.94
T_00040,100.2402,100.5447,100.1182,100.1295,3.23
T_00041,100.1295,100.2083,99.9841,100.0856,2.79
T_00042,100.0856,100.3591,100.0341,100.2379,3.51
T_00043,100.2379,100.2674,100.1606,100.1955,2.78
T_00044,100.1955,100.5091,100.153,100.3295,3.38
T_00045,100.3295,100.3583,100.1636,100.2303,3.15
T_00046,100.2303,100.3189,100.1811,100.203,2.68
T_00047,100.203,100.278,100.0735,100.1636,2.75
T_00048,100.1636,100.253,99.6705,99.9447,3.95
T_00049,99.9447,100.0402,99.8795,99.9795,2.73
T_00050,99.9795,100.1348,99.947,100.0386,2.89
T_00051,100.0386,100.1083,99.6795,99.8614,3.67
T_00052,99.8614,100.122,99.6629,100.1076,4.13
T_00053,100.1076,100.297,100.0697,100.1424,2.73
T_00054,100.1424,100.1818,99.8205,99.9265,3.92
T_00055,99.9265,100.3303,99.7333,100.05,3.31
T_00056,100.05,100.2189,99.8455,100.1409,3.1
T_00057,100.1409,100.2023,100.0629,100.1136,2.68
T_00058,100.1136,100.2053,100.0917,100.0924,2.64
T_00059,100.0924,100.2902,100.0735,100.2697,3.67
T_00060,100.2697,100.3189,99.9955,100.0545,3.92
T_00061,100.0545,100.4015,99.8417,100.3174,4.24
T_00062,100.3174,100.6705,100.2008,100.5545,4.07
T_00063,100.5545,100.6068,100.3295,100.3765,3.67
T_00064,100.3765,100.3773,100.175,100.2992,3.01
T_00065,100.2992,100.3886,100.0174,100.1583,3.43
T_00066,100.1583,100.3598,100.0508,100.3538,3.79
T_00067,100.3538,100.5417,100.2629,100.4417,3.08
T_00068,100.4417,100.553,100.2492,100.3159,3.33
T_00069,100.3159,100.4394,100.1189,100.2189,3.14
T_00070,100.2189,100.2409,100.0598,100.1614,2.88
T_00071,100.1614,100.2,100.097,100.1258,2.73
T_00072,100.1258,100.2417,100.0409,100.0811,2.79
T_00073,100.0811,100.1432,99.8856,99.9977,3.05
T_00074,99.9977,100.0394,99.9568,99.9674,2.7
T_00075,99.9674,100.0182,99.9386,99.9667,2.5
T_00076,99.9667,100.0205,99.6136,99.7091,4.2
T_00077,99.7091,99.9212,99.6947,99.8508,3.43
T_00078,99.8508,99.8803,99.7652,99.8788,2.69
T_00079,99.8788,99.8795,99.8311,99.8629,2.6
T_00080,99.8629,99.9197,99.7523,99.8432,2.63
T_00081,99.8432,100.1439,99.8045,99.9356,3.11
T_00082,99.9356,100.0326,99.7705,99.7818,3.51
T_00083,99.7818,99.8,99.6591,99.7788,2.52
T_00084,99.7788,100.1379,99.6932,100.1212,4.76
T_00085,100.1212,100.2614,99.8121,99.997,3.32
T_00086,99.997,100.0386,99.8924,99.9606,2.74
T_00087,99.9606,100.1659,99.6606,99.7659,3.78
T_00088,99.7659,99.8917,99.6614,99.778,2.58
T_00089,99.778,100.0902,99.7061,99.9167,3.41
T_00090,99.9167,100.0227,99.7038,99.8023,3.25
T_00091,99.8023,99.8765,99.7258,99.7659,2.74
T_00092,99.7659,99.9727,99.6129,99.8371,2.97
T_00093,99.8371,99.9409,99.8152,99.8682,2.7
T_00094,99.8682,99.9591,99.8598,99.8818,2.59
T_00095,99.8818,99.9621,99.322,99.5689,4.56
T_00096,99.5689,99.6144,99.5462,99.5909,2.65
T_00097,99.5909,99.6273,99.522,99.5977,2.55
T_00098,99.5977,99.6371,99.278,99.4758,3.3
T_00099,99.4758,99.5265,99.4538,99.5189,2.78
T_00100,99.5189,99.5697,99.4985,99.5379,2.63
T_00101,99.5379,99.6538,99.4439,99.5568,2.63
T_00102,99.5568,99.8879,99.3909,99.7644,3.87
T_00103,99.7644,99.8303,99.7621,99.7977,2.72
T_00104,99.7977,99.9932,99.6788,99.9614,3.58
T_00105,99.9614,100.0008,99.7515,99.8606,3.16
T_00106,99.8606,99.8689,99.7576,99.7682,3.11
T_00107,99.7682,100.0235,99.2788,99.2924,5.64
