step_id,norm_open,norm_high,norm_low,norm_close,norm_volume
T_00001,100.0,100.0527,99.7357,99.849,8.99
T_00002,99.849,99.9479,99.8312,99.938,7.38
T_00003,99.938,100.0059,99.8827,99.9071,6.81
T_00004,99.9071,100.1971,99.8787,100.0686,8.69
T_00005,100.0686,100.1628,100.0639,100.1167,6.64
T_00006,100.1167,100.3032,100.0864,100.2676,8.52
T_00007,100.2676,100.2808,100.1556,100.2004,7.46
T_00008,100.2004,100.4634,99.5643,99.8761,12.14
T_00009,99.8761,100.3593,99.7383,100.0995,9.82
T_00010,100.0995,100.3375,99.971,100.2419,8.36
T_00011,100.2419,100.3711,99.975,100.3098,7.0
T_00012,100.3098,100.3995,100.1081,100.1226,9.63
T_00013,100.1226,100.6032,99.9842,100.6032,36.27
T_00014,100.6032,100.8069,100.4838,100.6348,15.93
T_00015,100.6348,100.7574,100.472,100.5966,17.24
T_00016,100.5966,100.6084,100.0376,100.3375,27.32
T_00017,100.3375,100.3962,100.2386,100.3131,16.66
T_00018,100.3131,100.6961,100.2722,100.5379,9.87
T_00019,100.5379,100.7126,100.5208,100.6295,7.45
T_00020,100.6295,100.6513,100.5537,100.5616,7.45
T_00021,100.5616,100.6552,100.4232,100.4542,8.16
T_00022,100.4542,100.4634,100.2525,100.3909,7.36
T_00023,100.3909,100.4285,100.2933,100.3355,7.23
T_00024,100.3355,100.3837,100.3349,100.3764,6.52
T_00025,100.3764,100.6249,100.1272,100.5643,9.2
T_00026,100.5643,100.735,100.4502,100.6137,6.69
T_00027,100.6137,100.6229,100.5399,100.6038,6.38
T_00028,100.6038,100.6533,100.3922,100.4239,9.48
T_00029,100.4239,100.5491,100.3711,100.4931,7.04
T_00030,100.4931,100.5682,100.2505,100.3645,8.56
T_00031,100.3645,100.6414,99.7956,100.116,10.74
T_00032,100.116,100.1852,99.6374,99.6968,13.86
T_00033,99.6968,99.7086,99.559,99.5999,8.02
T_00034,99.5999,99.6282,99.5979,99.6229,6.15
T_00035,99.6229,100.0198,99.4614,99.8161,9.26
T_00036,99.8161,100.1483,99.6889,100.0508,25.07
T_00037,100.0508,100.8378,99.8688,100.3724,29.04
T_00038,100.3724,100.4443,99.5043,99.9235,35.97
T_00039,99.9235,99.9842,99.9143,99.969,16.46
T_00040,99.969,100.0719,99.7937,99.9506,16.45
T_00041,99.9506,99.971,99.793,99.8635,7.83
T_00042,99.8635,99.9051,99.5827,99.6407,10.3
T_00043,99.6407,99.7614,99.5405,99.7416,7.58
T_00044,99.7416,99.8214,99.621,99.708,6.87
T_00045,99.708,99.7172,99.5188,99.5221,9.64
T_00046,99.5221,99.5913,99.4674,99.5003,6.67
T_00047,99.5003,99.5715,99.3085,99.4654,6.91
T_00048,99.4654,99.5208,99.4001,99.4792,6.02
T_00049,99.4792,99.5109,99.2683,99.4094,7.54
T_00050,99.4094,99.5438,99.3975,99.4733,6.89
T_00051,99.4733,99.5399,99.1674,99.3461,8.58
T_00052,99.3461,99.4463,99.323,99.3751,6.25
T_00053,99.3751,99.4621,99.1595,99.2874,7.87
T_00054,99.2874,99.4693,99.1259,99.2057,7.77
T_00055,99.2057,99.3507,99.0633,99.2762,7.01
T_00056,99.2762,99.4489,99.176,99.1885,7.88
T_00057,99.1885,99.3289,99.178,99.267,7.14
T_00058,99.267,99.6473,99.1042,99.4265,8.62
T_00059,99.4265,99.7607,99.2518,99.6737,25.55
T_00060,99.6737,99.8194,99.4766,99.5583,20.9
T_00061,99.5583,99.9374,99.1951,99.8958,29.7
T_00062,99.8958,99.9044,99.6559,99.6974,24.64
T_00063,99.6974,99.8036,99.6084,99.6137,19.45
T_00064,99.6137,99.6664,99.4199,99.5419,7.57
T_00065,99.5419,99.7732,99.4575,99.6658,7.98
T_00066,99.6658,99.8886,99.5557,99.7396,7.09
T_00067,99.7396,99.7746,99.6216,99.6388,8.1
T_00068,99.6388,99.644,99.6051,99.6348,6.32
T_00069,99.6348,99.7218,99.5386,99.6566,6.13
T_00070,99.6566,99.8082,99.4436,99.5241,8.67
T_00071,99.5241,99.5399,99.4707,99.5274,6.21
T_00072,99.5274,99.731,99.269,99.7238,9.31
T_00073,99.7238,99.7614,99.4555,99.5847,8.78
T_00074,99.5847,99.7805,99.5761,99.6196,6.36
T_00075,99.6196,99.6394,99.4074,99.472,8.95
T_00076,99.472,99.5076,99.4588,99.4852,6.04
T_00077,99.4852,99.5036,99.4641,99.4904,6.16
T_00078,99.4904,99.6117,99.3955,99.5511,6.83
T_00079,99.5511,99.6381,99.5063,99.5531,6.22
T_00080,99.5531,99.6546,99.4054,99.6368,7.26
T_00081,99.6368,99.6414,99.4568,99.6414,6.18
T_00082,99.6414,100.027,99.5188,99.9229,10.87
T_00083,99.9229,100.2703,99.9216,100.1252,23.57
T_00084,100.1252,100.5445,99.9565,100.5122,32.04
T_00085,100.5122,100.8497,100.3757,100.7469,25.13
T_00086,100.7469,100.8036,100.5867,100.6236,21.11
T_00087,100.6236,100.8497,100.2307,100.4792,22.09
T_00088,100.4792,100.6262,100.4298,100.6091,8.15
T_00089,100.6091,100.7264,100.4206,100.4674,8.79
T_00090,100.4674,100.5662,100.4397,100.5168,6.68
T_00091,100.5168,100.7554,100.4351,100.7337,9.73
T_00092,100.7337,100.8464,100.468,100.5939,8.74
T_00093,100.5939,100.7317,100.501,100.7053,7.82
T_00094,100.7053,100.7159,100.6618,100.6678,6.88
T_00095,100.6678,100.6691,100.6163,100.6414,6.69
T_00096,100.6414,100.7317,100.5794,100.7304,7.42
T_00097,100.7304,100.7686,100.7047,100.7172,6.44
T_00098,100.7172,100.7614,100.5913,100.6585,7.27
T_00099,100.6585,100.8088,100.5972,100.5999,7.27
